,0
distance,0.14603009307392897
average_hours,0.14515390749427914
no_of_vehicles,0.10349392570821822
destination_humidity,0.05534205674919314
destination_visibility,0.05231725008892439
origin_temp,0.03965353132889958
destination_temp,0.03950446059329153
origin_humidity,0.0354686404524756
origin_pressure,0.02729453714485949
destination_pressure,0.02390737924679185
temp,0.023824424992477028
humidity,0.02265683542414587
average_speed_mph,0.022256048981972858
destination_bad_weather,0.021952482207595516
pressure,0.020400402300561882
wind_speed,0.019506977354425026
origin_wind_speed,0.01823541930130877
destination_wind_speed,0.016531573885275402
experience,0.015442963516486724
age,0.014707773444979786
high_traffic,0.014538720528280246
departure_day_of_week,0.013621596269062074
mileage_mpg,0.012274038733193797
origin_visibility,0.012140995141317265
visibility,0.01087406906393007
truck_age,0.010772753974979043
accident,0.010475738950915537
ratings,0.0099317878168751
load_capacity_pounds,0.007906281676117746
precip,0.007719600171078174
any_bad_weather,0.0074979448396993165
is_weekend_departure,0.0035802218109987414
origin_bad_weather,0.003024663101510066
destination_precip,0.002555740445164735
driving_style_proactive,0.0022852970387020914
fuel_type_gas,0.002211958702572775
route_bad_weather,0.002038128797569515
gender_male,0.0017985779754939638
origin_precip,0.001071201672449023
